iso,CEDS_grd_sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
gbr,ENE,0.02918822,0.004563929,0.062413645,0.152764477,0.234863924,0.090799005,0.001731338,0.002444272,0.002632512,0.026841763,0.070425174,0.061604696,0.069725871,0.003774383,0.028239206,0,0,0,0.0732962,0.006136771,0.009323978,0.047241466,0.021989171
geo,ENE,0.018119599,0.004455376,0.067096135,0.159072365,0.253194233,0.084734729,0.007803553,0.002386914,0.002570737,0.025354464,0.075708713,0.062201912,0.067174454,0.002343298,0.027570629,0,0,0,0.072417002,0.003809628,0.005788204,0.034194424,0.02400363
ggy,ENE,0.005171555,0.00514433,0.072405715,0.166307469,0.271519241,0.085311795,0.000842784,0.002755432,0.002967635,0.027978831,0.081699839,0.06599883,0.076186472,0.000668725,0.031830818,0,0,0,0.070816169,0.001087367,0.001652104,0.021377118,0.008277772
gha,ENE,0.05073848,0.005940134,0.010043462,0.043537769,0.024410535,0.093977938,0.004838668,0.003172072,0.003416362,0.035995003,0.011332659,0.03823784,0.091891005,0.006541325,0.036764667,0,0,0,0.032129364,0.010665255,0.016204386,0.076149472,0.404013606
gib,ENE,0.036404953,0.011334452,0.031226961,0.087295012,0.091345195,0.145619797,0.001221812,0.006071048,0.006538596,0.063698767,0.035235312,0.070108993,0.170031381,0.004707582,0.070132149,0,0,0,0.043005274,0.00765409,0.011629334,0.07584823,0.030891062
gin,ENE,0.022283567,0.001890022,0.067997034,0.161937253,0.264676947,0.063441026,0.007316291,0.001004844,0.00108223,0.011938147,0.076725264,0.053370787,0.029728464,0.002887533,0.011676134,0,0,0,0.076655544,0.004681257,0.007112524,0.031279861,0.10231527
glp,ENE,0.064307934,0,0.006513992,0.039020355,0.028941038,0.044654461,0,0,0,0.005278399,0.00735014,0.014975843,0.005580197,0.008314864,0,0,0,0,0.038403119,0.013521124,0.020543485,0.073917163,0.628677887
gmb,ENE,0.077479817,0.003964838,0.010205491,0.053450507,0.032262365,0.092567125,0.007060548,0.00212212,0.00228555,0.02759065,0.011515486,0.035083955,0.065083061,0.010020023,0.024527563,0,0,0,0.046589014,0.016289,0.02474889,0.100949597,0.3562044
gnb,ENE,0.055577915,0.006587828,0.011130141,0.047869642,0.026812562,0.103627317,0.009093594,0.003522532,0.003793812,0.039804612,0.012558825,0.042172688,0.101689155,0.007181697,0.040717539,0,0,0,0.035223904,0.011678981,0.017744602,0.083586613,0.339626039
gnq,ENE,0.055621712,0.006573032,0.011131531,0.048259401,0.026521158,0.103525239,0.00900079,0.003300637,0.003554828,0.039607646,0.012560396,0.042195781,0.101656558,0.007163578,0.040901713,0,0,0,0.035330047,0.011722588,0.017810859,0.083652098,0.339910409
grc,ENE,0.016969558,0.007123274,0.056581742,0.135751567,0.203472665,0.104558603,0.00853461,0.003815177,0.004108995,0.03954902,0.063844673,0.065972883,0.106350969,0.002194624,0.044077868,0,0,0,0.060226498,0.003567833,0.00542083,0.040876639,0.027001971
grd,ENE,0.064308156,0,0.006515354,0.039023293,0.028937925,0.044654762,0,0,0,0.005279259,0.007351676,0.014974531,0.005581107,0.00831537,0,0,0,0,0.038402757,0.013520729,0.020542883,0.073917423,0.628674776
grl,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gtm,ENE,0.137566736,0.000741962,0.011537381,0.078293,0.05016515,0.101480658,0.007308413,0.000397127,0.000427711,0.015265614,0.01301834,0.033462773,0.022857595,0.017788846,0.004588786,0,0,0,0.079431446,0.028923049,0.043944586,0.160346541,0.192454286
guf,ENE,0.057957449,0.001255623,0.020637089,0.068732787,0.080720905,0.059132856,0.0041946,0.000597816,0.000643855,0.011408321,0.023286103,0.027651193,0.023594544,0.007533736,0.007743007,0,0,0,0.04848099,0.012249296,0.018611117,0.070489262,0.455079451
gum,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guy,ENE,0.057933603,0.001302211,0.020868408,0.069276327,0.081602181,0.059366617,0.004208425,0.000684815,0.000737555,0.011616493,0.023547115,0.027858529,0.023944646,0.007484754,0.00799084,0,0,0,0.048631666,0.012173987,0.018496695,0.070461465,0.451813667
hkg,ENE,0.00444653,0.017597034,0.021058365,0.054112571,0.030679383,0.179811797,0.008570814,0.009425411,0.010151289,0.094619233,0.023761454,0.082987507,0.259458688,0.000574984,0.108881867,0,0,0,0.014011239,0.000934869,0.001420405,0.057902173,0.019594387
hnd,ENE,0.153217993,0,0,0.083231306,0.050240345,0.104702574,0.012800264,0,0,0,0,0.044052276,0,0.010856256,0,0,0,0,0.090066732,0.033537791,0.050956055,0.176112635,0.190225771
hrv,ENE,0.007850879,0.016167055,0.026035115,0.066186199,0.054855588,0.170694138,0.009584245,0.00865982,0.009326737,0.087239955,0.029377028,0.081031677,0.238703082,0.001015236,0.100034599,0,0,0,0.021289068,0.001650581,0.002507831,0.057525567,0.010265599
hti,ENE,0.043035023,0,0.003380186,0.023891857,0.015464455,0.029436251,0,0,0,0.003541344,0.003814073,0.009422628,0.003743824,0.005578546,0,0,0,0,0.02473277,0.009052518,0.013754053,0.049465548,0.761686923
hun,ENE,0.004926859,0.005341482,0.071811895,0.164935468,0.268562228,0.086756849,0.004340145,0.002861031,0.003081367,0.029014846,0.081029793,0.066363978,0.079067698,0.000637079,0.033050554,0,0,0,0.070014898,0.001035804,0.001573762,0.021687523,0.00390674
imn,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ind,ENE,0.067250109,8.60E-05,0.058385949,0.156840051,0.234225729,0.071057675,0.005004532,4.32E-05,4.65E-05,0.005983985,0.065880473,0.047976584,0.007108146,0.00870543,0.000538044,0,0,0,0.090549909,0.014136692,0.021478753,0.077556925,0.067145362
irl,ENE,0.029186182,0.004565639,0.062414849,0.152758876,0.234853215,0.090797922,0.001749565,0.002443666,0.002631859,0.026851447,0.070426535,0.061599675,0.069720863,0.003775497,0.0282442,0,0,0,0.073291147,0.00613683,0.009324067,0.047239193,0.021988774
irn,ENE,0.01746242,0.005427855,0.062935052,0.149743302,0.23376056,0.091649951,0.007904766,0.002907195,0.003131086,0.030505605,0.071013501,0.063330976,0.08142447,0.002257756,0.03358391,0,0,0,0.067534195,0.003671047,0.005577649,0.036354893,0.029823811
irq,ENE,0.041048609,0.003856155,0.056501916,0.143758479,0.214161818,0.089060041,0.006773172,0.002065943,0.002225048,0.02402474,0.063754607,0.057174859,0.060336702,0.005307932,0.023860646,0,0,0,0.07377635,0.008630221,0.013112431,0.058751111,0.051819218
isl,ENE,0,0,0,0,0,0,0.006430581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993569419
isr,ENE,0.093224371,0.004349466,0.011772476,0.06305659,0.038083585,0.107152527,0.006422021,0.002329683,0.002509098,0.030949547,0.013283613,0.040249977,0.072125522,0.012054845,0.026912433,0,0,0,0.055772313,0.019600362,0.029780046,0.12020293,0.250168593
ita,ENE,0.048855848,0.001627959,0.062869559,0.160398588,0.246460924,0.075838192,0.001972223,0.00087193,0.00093908,0.012730231,0.070939609,0.053691003,0.028207309,0.006317696,0.010072949,0,0,0,0.085006373,0.010271824,0.01560662,0.061039887,0.046282198
jam,ENE,0.154268661,0,0.012087352,0.085645758,0.055390444,0.105505636,0.007898097,0,0,0.012663644,0.013638907,0.033727811,0.013387704,0.019948525,0,0,0,0,0.088660182,0.032434849,0.04928028,0.177320304,0.138141846
